"variable","value.mean","value.n","value.sd","value.10%","value.50%","value.90%"
"DM",3.87,16,1.900,1.99000,3.45000,5.54000
"pH",7.97,14,0.477,7.41000,7.90000,8.53000
"TAN",2.75,16,1.060,1.52500,2.78750,4.06250
"totN",4.28,12,1.120,2.58988,4.25000,5.58250
